,person_id,name,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,games_played,field_goals_blocked,free_throws_made,free_throws_missed,rebounds,points,three-pointers
1838,1627738.0,Deyonta Davis,36.0,7.0,30.0,11.0,6.0,53.0,36.0,22.0,16.0,11.0,92.0,2908.0,27.0
1839,1627739.0,Kris Dunn,504.0,685.0,715.0,281.0,258.0,534.0,182.0,70.0,145.0,51.0,573.0,13006.0,129.0
1840,1627759.0,Jaylen Brown,2489.0,848.0,2755.0,753.0,349.0,942.0,368.0,130.0,1011.0,365.0,1912.0,47.0,0.0
1841,1627785.0,Isaiah Whitehead,192.0,188.0,289.0,139.0,42.0,165.0,70.0,35.0,86.0,22.0,181.0,6331.0,58.0
1842,1627098.0,Malcolm Delaney,136.0,178.0,233.0,92.0,37.0,107.0,70.0,1.0,73.0,18.0,116.0,831.0,8.0
1843,1627849.0,Daniel Ochefu,12.0,3.0,14.0,3.0,2.0,17.0,15.0,0.0,0.0,2.0,21.0,54.0,0.0
1844,203107.0,Tomas Satoransky,732.0,1201.0,858.0,392.0,237.0,507.0,289.0,45.0,352.0,73.0,810.0,211.0,1.0
1845,1627815.0,Sheldon Mac,30.0,15.0,45.0,5.0,8.0,17.0,22.0,2.0,23.0,4.0,34.0,1905.0,17.0
1846,1627752.0,Taurean Prince,1061.0,490.0,1468.0,424.0,242.0,678.0,315.0,125.0,393.0,89.0,1118.0,329.0,1.0
1847,1627761.0,DeAndre' Bembry,628.0,460.0,690.0,302.0,260.0,486.0,247.0,102.0,179.0,108.0,820.0,4082.0,29.0
1848,1627757.0,Stephen Zimmerman,10.0,4.0,21.0,3.0,2.0,17.0,18.0,5.0,3.0,2.0,35.0,0.0,0.0
1849,1627777.0,Georges Niang,829.0,308.0,1040.0,206.0,109.0,559.0,339.0,40.0,140.0,21.0,734.0,4838.0,18.0
1850,1627773.0,AJ Hammons,17.0,4.0,24.0,10.0,1.0,21.0,19.0,13.0,9.0,9.0,35.0,3801.0,29.0
1851,1627787.0,Kyle Wiltjer,3.0,2.0,10.0,5.0,3.0,3.0,13.0,1.0,1.0,1.0,9.0,946.0,4.0
1852,1627786.0,Troy Williams,109.0,33.0,138.0,38.0,36.0,88.0,47.0,18.0,29.0,16.0,119.0,1877.0,15.0
1853,1627854.0,Bryn Forbes,1096.0,421.0,1411.0,246.0,126.0,471.0,328.0,12.0,279.0,46.0,580.0,31.0,0.0
1854,1627749.0,Dejounte Murray,1799.0,1609.0,2091.0,569.0,434.0,524.0,280.0,67.0,509.0,121.0,1717.0,186.0,1.0
1855,1627767.0,Cheick Diallo,292.0,58.0,192.0,85.0,45.0,189.0,119.0,51.0,102.0,29.0,539.0,0.0,0.0
1856,1627770.0,Kay Felder,57.0,53.0,93.0,28.0,17.0,34.0,37.0,6.0,34.0,13.0,36.0,2638.0,24.0
1857,1627756.0,Denzel Valentine,349.0,209.0,585.0,123.0,85.0,216.0,159.0,17.0,36.0,6.0,435.0,654.0,3.0
1858,1627835.0,Paul Zipser,85.0,35.0,130.0,37.0,15.0,78.0,42.0,16.0,30.0,8.0,120.0,12.0,0.0
1859,1627789.0,Timothe Luwawu-Cabarrot,525.0,232.0,819.0,187.0,117.0,493.0,254.0,37.0,260.0,52.0,565.0,23818.0,181.0
1860,1627762.0,Joel Bolomboy,9.0,2.0,7.0,2.0,1.0,1.0,11.0,2.0,3.0,3.0,17.0,9784.0,86.0
1861,1627754.0,Diamond Stone,3.0,0.0,10.0,2.0,0.0,6.0,7.0,1.0,4.0,0.0,6.0,5749.0,49.0
1862,1627748.0,Thon Maker,269.0,106.0,336.0,89.0,53.0,278.0,176.0,111.0,154.0,70.0,464.0,3790.0,23.0
1863,1626254.0,Maurice Ndour,37.0,7.0,45.0,12.0,15.0,29.0,27.0,8.0,15.0,7.0,60.0,8124.0,57.0
1864,1627774.0,Jake Layman,404.0,105.0,464.0,105.0,87.0,223.0,180.0,63.0,119.0,46.0,369.0,100.0,0.0
1865,1627826.0,Ivica Zubac,1331.0,429.0,864.0,440.0,121.0,948.0,364.0,355.0,669.0,231.0,2721.0,11375.0,93.0
1866,1627823.0,Juancho Hernangomez,518.0,187.0,692.0,146.0,113.0,319.0,282.0,63.0,235.0,111.0,997.0,7100.0,39.0
1867,1627746.0,Skal Labissiere,223.0,78.0,188.0,76.0,27.0,183.0,85.0,50.0,86.0,38.0,368.0,3140.0,17.0
1868,1627834.0,Georgios Papagiannis,56.0,20.0,46.0,24.0,3.0,44.0,18.0,17.0,12.0,2.0,86.0,10436.0,96.0
1869,1627736.0,Malik Beasley,1377.0,454.0,1897.0,276.0,217.0,422.0,311.0,43.0,254.0,52.0,921.0,10039.0,101.0
1870,1627743.0,Demetrius Jackson,11.0,8.0,8.0,1.0,3.0,4.0,9.0,0.0,7.0,3.0,7.0,2584.0,9.0
1871,1627817.0,Tim Quarterman,13.0,11.0,14.0,9.0,2.0,5.0,13.0,3.0,0.0,3.0,13.0,14472.0,125.0
1872,1627812.0,Yogi Ferrell,391.0,379.0,551.0,135.0,97.0,191.0,170.0,20.0,173.0,30.0,271.0,133.0,1.0
1873,1627863.0,Danuel House Jr.,569.0,246.0,744.0,162.0,132.0,360.0,212.0,80.0,225.0,73.0,670.0,225.0,2.0
1874,1626203.0,Treveon Graham,167.0,83.0,287.0,48.0,41.0,173.0,105.0,14.0,62.0,29.0,269.0,12019.0,115.0
1875,1626780.0,Jonathan Gibson,33.0,24.0,59.0,20.0,8.0,20.0,15.0,0.0,19.0,8.0,21.0,9019.0,55.0
1876,1627850.0,Marshall Plumlee,15.0,10.0,14.0,12.0,4.0,23.0,17.0,4.0,8.0,11.0,51.0,2453.0,25.0
1877,1627832.0,Fred VanVleet,1654.0,1775.0,2499.0,559.0,439.0,703.0,305.0,138.0,826.0,118.0,1108.0,103.0,1.0
1878,1627747.0,Caris LeVert,1643.0,1175.0,2150.0,550.0,299.0,618.0,301.0,102.0,672.0,238.0,1178.0,96.0,3.0
1879,1627745.0,Damian Jones,446.0,164.0,218.0,144.0,77.0,458.0,195.0,159.0,231.0,94.0,717.0,3353.0,16.0
1880,1627884.0,Derrick Jones Jr.,722.0,205.0,674.0,158.0,195.0,583.0,289.0,201.0,357.0,145.0,1006.0,7994.0,72.0
